article_title,source,neg_emo_intensity,neu_emo_intensity,pos_emo_intensity,sentiment_polarity,damage_frequency,impact_score
"Hurricane Melissa threatens to bring catastrophic flooding, landslides to Jamaica, Haiti, Cuba",https://www.cbsnews.com,0.12623333333333334,0.8371666666666666,0.036566666666666664,-0.9967,8,0.17596111111111112
Tropical Storm Melissa threatens Jamaica with days of hurricane conditions as it is set to rapidly intensify in the Caribbean,https://edition.cnn.com,0.08045652173913044,0.8770652173913043,0.042478260869565215,-0.9931,5,0.11130217391304348
Jamaica braces as Hurricane Melissa strengthens offshore,https://www.aljazeera.com,0.08302777777777777,0.8625277777777778,0.05444444444444444,-0.9894,8,0.16277592592592594
Hurricane Melissa: Where and when will it make landfall in Jamaica?,https://www.aljazeera.com,0.05736538461538462,0.9076923076923078,0.03494230769230769,-0.989,12,0.2209551282051282
"Hurricane Melissa, now Category 4, threatens heavy floods in Jamaica, Haiti",https://www.aljazeera.com,0.06930434782608696,0.918913043478261,0.011782608695652175,-0.9885,7,0.14168478260869563
"Melissa leaves 50 dead, toll expected to rise in Jamaica, Haiti",https://www.aljazeera.com,0.07079166666666667,0.88375,0.04545833333333333,-0.9875,11,0.20901388888888892
"Hurricane Melissa rapidly intensifies, threatening major Caribbean flooding",https://www.aljazeera.com,0.12268421052631578,0.8252105263157895,0.052157894736842104,-0.9873,6,0.14301140350877192
"Hurricane Melissa is now a rare Category 5 storm as it closes in on a historic, catastrophic landfall in Jamaica",https://www.cnn.com,0.06592156862745098,0.8962941176470588,0.03780392156862745,-0.9819,4,0.09165718954248366
"Hurricane Melissa is now a rare Category 5 storm as it closes in on a historic, catastrophic landfall in Jamaica",https://edition.cnn.com,0.06592156862745098,0.8962941176470588,0.03780392156862745,-0.9819,4,0.09165718954248366
"Hurricane Melissa is now a rare Category 5 storm as it closes in on a historic, catastrophic landfall in Jamaica",https://us.cnn.com,0.06592156862745098,0.8962941176470588,0.03780392156862745,-0.9819,4,0.09165718954248366
U.S.-based aid groups rush to get supplies into storm-battered Jamaica after Hurricane Melissa,https://www.cbsnews.com,0.08647058823529412,0.8997058823529411,0.013823529411764705,-0.967,4,0.10099019607843139
Will Hurricane Melissa impact South Florida? See its projected path.,https://www.cbsnews.com,0.0595,0.9189444444444445,0.021555555555555557,-0.9493,0,0.028283333333333327
"Tropical Storm Melissa threatens Caribbean, kills one in Haiti",https://www.aljazeera.com,0.07335294117647058,0.868764705882353,0.05788235294117647,-0.9413,7,0.15090098039215685
Cuba is staring down a direct hit from Melissa. Here’s what to expect,https://edition.cnn.com,0.07566666666666667,0.8970666666666667,0.027266666666666668,-0.9382,1,0.05218888888888889
Hurricane Melissa could be strongest to ever hit Jamaica,https://www.bbc.com,0.08816666666666667,0.858111111111111,0.05366666666666667,-0.9118,6,0.14408888888888888
"Tropical Storm Melissa is expected to become a hurricane. Its track is unclear, but it’s bringing a dangerous threat",https://edition.cnn.com,0.04923529411764706,0.9057941176470589,0.045,-0.8937,4,0.10079509803921567
Hurricane forecast: Melissa is expected to become a major hurricane. It could be a worst-case scenario for Jamaica,https://edition.cnn.com,0.07160526315789474,0.8810789473684211,0.047342105263157894,-0.813,4,0.12170175438596492
Hurricane Melissa is a mighty Category 5 storm in the Caribbean. Maps show its forecast path.,https://www.cbsnews.com,0.049483870967741934,0.9032903225806451,0.0472258064516129,-0.4588,1,0.12336129032258064
Latest News & Updates,https://www.bbc.com,0.0,1.0,0.0,0.0,0,0.16666666666666666
Global Empowerment Mission prepares emergency supplies for countries impacted by Hurricane Melissa,https://www.cbsnews.com,0.030454545454545453,0.8776363636363637,0.0919090909090909,0.4215,4,0.31373484848484845
Hurricane forecast: Melissa is now forecast to become a major hurricane as it trends toward a concerning track,https://edition.cnn.com,0.05664102564102564,0.8851282051282052,0.05825641025641026,0.9352,3,0.3914136752136752
"Massachusetts woman worries for family in Jamaica as Hurricane Melissa could bring mud slides, flooding",https://www.cbsnews.com,0.0815,0.84515,0.07335,0.936,0,0.3498333333333333
Hurricane Melissa weighs on Minneapolis restaurateur from Jamaica,https://www.cbsnews.com,0.022,0.8541875,0.1238125,0.9509,2,0.3658166666666667
Hurricane Melissa was one of the strongest storms on record. NOAA’s Hurricane Hunters flew into it without pay,https://edition.cnn.com,0.048,0.9014516129032258,0.05054838709677419,0.9511,7,0.4578499999999999
"Hurricane Melissa bringing rough currents and waves to Fort Lauderdale Beach, Ocean Rescue officials warn",https://www.cbsnews.com,0.017842105263157895,0.9181052631578946,0.06405263157894737,0.9806,2,0.369380701754386
